,Temperature,Conductivity,Salinity,O2,Saturation,pH,Transparence,Turbidity,Chl_a,N_NO2,N_NH4,P_PO4,PT,NT
Temperature,1.0,0.3,0.28,-0.2,0.11,0.15,0.12,-0.1,-0.14,-0.09,0.46,-0.21,-0.03,0.31
Conductivity,0.3,1.0,0.97,-0.01,0.09,-0.09,0.28,-0.24,-0.11,-0.29,0.25,-0.42,-0.19,0.09
Salinity,0.28,0.97,1.0,0.03,0.1,-0.08,0.25,-0.23,-0.1,-0.27,0.32,-0.41,-0.19,0.07
O2,-0.2,-0.01,0.03,1.0,0.93,0.63,0.1,0.01,0.22,0.07,-0.19,0.38,0.28,-0.11
Saturation,0.11,0.09,0.1,0.93,1.0,0.72,0.13,-0.01,0.19,0.06,-0.07,0.35,0.32,-0.04
pH,0.15,-0.09,-0.08,0.63,0.72,1.0,0.16,-0.0,0.23,-0.09,-0.06,0.43,0.31,0.17
Transparence,0.12,0.28,0.25,0.1,0.13,0.16,1.0,-0.67,-0.32,-0.08,-0.09,-0.1,-0.06,0.11
Turbidity,-0.1,-0.24,-0.23,0.01,-0.01,-0.0,-0.67,1.0,0.42,0.1,0.14,0.04,0.09,-0.22
Chl_a,-0.14,-0.11,-0.1,0.22,0.19,0.23,-0.32,0.42,1.0,0.12,-0.1,0.1,0.09,-0.29
N_NO2,-0.09,-0.29,-0.27,0.07,0.06,-0.09,-0.08,0.1,0.12,1.0,-0.1,0.15,0.35,-0.42
N_NH4,0.46,0.25,0.32,-0.19,-0.07,-0.06,-0.09,0.14,-0.1,-0.1,1.0,-0.15,-0.07,0.1
P_PO4,-0.21,-0.42,-0.41,0.38,0.35,0.43,-0.1,0.04,0.1,0.15,-0.15,1.0,0.69,-0.21
PT,-0.03,-0.19,-0.19,0.28,0.32,0.31,-0.06,0.09,0.09,0.35,-0.07,0.69,1.0,-0.39
NT,0.31,0.09,0.07,-0.11,-0.04,0.17,0.11,-0.22,-0.29,-0.42,0.1,-0.21,-0.39,1.0
